time,latitude,longitude,depth,mag,magType,place
2023-04-23T09:21:42.534Z,17.5415,122.3079,10.334,4.9,mb,"47 km ESE of Lapi, Philippines"
2023-04-22T11:14:58.257Z,14.4872,118.6504,10,4.9,mb,"161 km WSW of San Nicolas, Philippines"
2023-04-22T01:06:06.004Z,9.7109,126.0724,56.614,4.9,mb,"5 km SSE of Dapa, Philippines"
2023-03-29T07:41:46.881Z,5.9533,126.3284,11.616,4.9,mb,"Mindanao, Philippines"
2023-03-17T13:56:04.434Z,14.5246,119.993,42.985,4.9,mb,"33 km SW of Sabang, Philippines"
2023-03-17T13:23:29.080Z,18.4305,120.3745,23.843,4.9,mb,"Luzon, Philippines"
2023-03-02T14:32:16.754Z,9.0645,122.6983,10,4.9,mb,"25 km WSW of Bonawon, Philippines"
2023-02-26T09:14:47.528Z,19.1025,121.1144,37.084,4.9,mb,"54 km N of Namuac, Philippines"
2023-02-19T04:47:17.935Z,9.1028,126.1694,66.199,4.9,mb,"1 km SE of Buenavista, Philippines"
2023-02-15T09:15:31.447Z,12.2474,123.8139,10,4.9,mb,"1 km NNW of Miaga, Philippines"
2023-02-10T01:29:25.240Z,19.12,121.2107,38.682,4.9,mb,"56 km N of Namuac, Philippines"
2023-01-29T04:23:33.367Z,5.5924,125.0567,49.134,4.9,mb,"Mindanao, Philippines"
2023-01-07T23:00:33.839Z,7.5478,126.4686,143.364,4.9,mww,"Davao Oriental, Philippines"
2022-12-19T21:44:25.055Z,7.7019,124.6944,10.015,4.9,mb,"3 km NE of Wao, Philippines"
2022-11-15T08:24:36.423Z,14.1021,119.38,10,4.9,mb,"76 km WNW of Cabra, Philippines"
2022-11-11T01:36:56.534Z,13.9351,120.7003,120.989,4.9,mb,"3 km W of Balayan, Philippines"
2022-10-26T09:12:44.497Z,17.8718,120.8512,35.369,4.9,mb,"22 km SSE of Padong, Philippines"
2022-10-20T12:29:51.487Z,20.827,120.2179,10,4.9,mb,"141 km SSW of Hengchun, Taiwan"
2022-10-02T21:03:01.038Z,4.6515,126.0376,69.936,4.9,mb,"104 km SE of Sarangani, Philippines"
2022-08-17T09:35:15.352Z,9.6441,125.849,132.73,4.9,mb,"13 km W of Socorro, Philippines"
2022-08-15T08:19:37.965Z,18.0282,121.0998,88.093,4.9,mb,"8 km W of Kabugao, Philippines"
2022-07-31T11:27:38.720Z,17.3646,120.7626,10,4.9,mb,"7 km SE of San Ramon, Philippines"
2022-07-27T18:43:00.523Z,17.1302,120.6706,10,4.9,mb,"Luzon, Philippines"
2022-07-27T01:29:04.584Z,17.4223,120.7906,10,4.9,mb,"3 km ESE of Bantay, Philippines"
2022-07-09T01:08:41.505Z,5.5852,126.585,62.182,4.9,mb,"96 km SSE of Pondaguitan, Philippines"
2022-03-29T18:24:17.291Z,15.0041,119.7519,13.32,4.9,mb,"34 km W of Poblacion, San Felipe, Philippines"
2022-04-07T00:36:53.389Z,14.2578,119.3144,10,4.9,mb,"89 km WNW of Cabra, Philippines"
