time,latitude,longitude,depth,mag,magType,place
2020-04-10T16:44:56.425Z,20.4677,122.1097,160,5.9,mww,"14 km E of Basco, Philippines"
2019-11-18T13:22:10.121Z,7.6222,124.9103,14.45,5.9,mww,"2 km N of Kadingilan, Philippines"
2019-10-29T02:42:38.284Z,6.8659,124.9846,10,5.9,mww,"8 km E of Bagontapay, Philippines"
2019-07-01T16:59:25.333Z,9.1702,124.1922,533,5.9,mww,"48 km S of Valencia, Philippines"
2018-05-10T18:02:28.960Z,6.8698,123.762,535,5.9,mww,"29 km WNW of Gadung, Philippines"
2017-04-08T07:09:23.180Z,13.7701,120.9354,14.26,5.9,mww,"1 km NNW of Mabini, Philippines"
2008-09-27T03:09:04.820Z,13.477,120.548,11,5.9,mwc,"11 km NE of Paluan, Philippines"
2007-11-27T04:26:58.560Z,16.058,119.838,35,5.9,mwc,"5 km S of Bangan-Oda, Philippines"
2015-01-10T19:32:00.320Z,14.7709,120.2456,59,5.9,mww,"5 km NW of Mabayo, Philippines"
2019-02-08T11:55:07.830Z,9.8456,126.5791,20,5.9,mww,"52 km E of Union, Philippines"
2013-11-03T11:03:38.400Z,4.6565,123.3471,532,5.9,mww,"195 km SSW of Palimbang, Philippines"
2013-09-06T11:33:53.520Z,20.1721,122.3193,175.23,5.9,mww,"47 km SE of Basco, Philippines"
2022-12-09T06:32:59.635Z,13.1588,125.8253,9,5.8,mww,"96 km NE of Cabatuan, Philippines"
2022-08-13T06:25:32.230Z,6.9062,123.792,19.913,5.8,mww,"Moro Gulf, Mindanao, Philippines"
2021-07-23T20:57:18.713Z,13.7977,120.7434,120.58,5.8,mww,"6 km SE of Hukay, Philippines"
2021-05-12T01:09:27.067Z,13.5716,120.8478,113,5.8,mww,"10 km SSW of Tingloy, Philippines"
2004-05-16T11:01:14.520Z,7.63,126.166,11.8,5.8,mwc,"4 km NE of Bantacan, Philippines"
2006-03-01T11:04:12.190Z,13.459,120.515,22.3,5.8,mwc,"7 km NE of Paluan, Philippines"
2012-02-06T11:33:36.980Z,9.821,123.08,15,5.8,mww,"6 km WNW of Tiguib, Philippines"
2012-03-16T07:58:02.500Z,10.037,125.633,18,5.8,mww,"9 km NNE of Dinagat, Philippines"
2010-09-30T09:00:24.460Z,19.706,121.472,15,5.8,mwc,"97 km SSW of Basco, Philippines"
2010-07-23T22:57:40.640Z,6.545,123.431,611.5,5.8,mb,"66 km W of Bantogon, Philippines"
2010-11-05T16:40:36.920Z,12.736,123.054,10,5.8,mwc,"24 km WSW of Mabiton, Philippines"
2010-07-23T22:59:48.930Z,7.319,123.765,601.7,5.8,mb,"29 km W of Litayan, Philippines"
1998-03-08T00:35:42.170Z,20.585,122.142,157.5,5.8,mwb,"23 km NE of Basco, Philippines"
1998-05-06T01:53:09.300Z,18.716,120.938,33,5.8,mwc,"19 km NW of Claveria, Philippines"
1997-10-05T19:00:02.380Z,5.679,125.453,223.9,5.8,mwc,"2 km NNW of Sugal, Philippines"
1997-04-08T18:07:09.570Z,18.315,120.953,70.6,5.8,mwc,"29 km ENE of Piddig, Philippines"
1996-09-25T09:26:45.080Z,9.694,126.406,33,5.8,mwc,"33 km ESE of Union, Philippines"
1996-08-08T23:12:35.110Z,11.977,125.677,33,5.8,mwc,"22 km ESE of Dolores, Philippines"
1996-11-04T12:53:36.340Z,9.732,126.414,33,5.8,mwc,"33 km E of Union, Philippines"
1996-04-18T06:12:57.560Z,12.816,124.982,33,5.8,mwc,"18 km NNW of Cabodiongan, Philippines"
1995-06-05T20:20:17.570Z,18.435,120.852,47.9,5.8,mwb,"14 km SE of Bangui, Philippines"
1995-01-06T21:59:28.600Z,9.189,126.179,32.4,5.8,mw,"1 km ENE of Mabahin, Philippines"
1993-11-29T20:28:43.930Z,10.294,126.477,38.2,5.8,mw,"56 km ENE of Santa Monica, Philippines"
1993-10-16T10:52:25.900Z,7.472,123.447,30.8,5.8,mw,"2 km NE of Malim, Philippines"
2008-08-25T02:43:06.360Z,10.307,125.252,27,5.8,mwc,"5 km S of Hinundayan, Philippines"
2008-03-28T22:41:32.220Z,20.251,121.949,10,5.8,mwc,"21 km S of Basco, Philippines"
2006-10-20T17:27:03.250Z,13.493,121.527,25.3,5.8,mwb,"24 km SSE of Laiya, Philippines"
2006-10-20T14:31:00.150Z,13.432,121.47,22.7,5.8,mwb,"20 km ENE of Estrella, Philippines"
2005-11-25T05:31:18.290Z,5.905,126.386,34,5.8,mwc,"55 km SSE of Pondaguitan, Philippines"
2005-10-10T11:08:25.510Z,13.42,125.077,6.9,5.8,mwb,"83 km N of Cabodiongan, Philippines"
2005-02-22T03:20:07.310Z,12.582,123.177,17.8,5.8,mwc,"17 km W of Tigbao, Philippines"
2004-10-11T06:37:13.320Z,5.389,126.437,30.5,5.8,mwc,"105 km ESE of Caburan, Philippines"
2003-09-01T15:13:07.170Z,12.154,122.318,20.7,5.8,mwb,"30 km SE of Tugdan, Philippines"
2003-02-15T05:47:58.960Z,12.171,123.921,10,5.8,mwc,"2 km N of Palanas, Philippines"
2002-09-03T14:23:45.300Z,13.536,120.754,10,5.8,mwb,"8 km N of Wawa, Philippines"
2002-05-13T19:57:22.900Z,19.132,121.238,33,5.8,mwc,"58 km N of Namuac, Philippines"
2000-11-04T12:38:41.300Z,5.762,125.773,133.8,5.8,mwc,"22 km SE of Caburan, Philippines"
2020-07-27T17:32:45.227Z,9.0183,126.2681,43.39,5.8,mww,"3 km N of La Paz, Philippines"
2019-07-12T20:42:55.276Z,9.3281,126.043,14.29,5.8,mww,"7 km E of Cantilan, Philippines"
2016-09-04T02:38:12.430Z,8.3989,125.8874,16,5.8,mww,"7 km SE of Causwagan, Philippines"
2017-08-05T00:30:41.230Z,6.1147,125.415,76,5.8,mww,"Mindanao, Philippines"
2017-04-11T21:21:00.860Z,7.6766,124.8119,8.28,5.8,mww,"8 km N of Osias, Philippines"
2017-07-10T01:41:48.220Z,10.9893,124.784,7.1,5.8,mww,"5 km NW of San Pedro, Philippines"
2015-10-19T13:50:41.620Z,13.8654,120.6172,106,5.8,mww,"2 km W of Balitoc, Philippines"
2012-09-03T06:49:49.730Z,6.61,123.875,12,5.8,mww,"19 km WNW of Bantogon, Philippines"
2006-09-05T04:53:02.100Z,7.678,126.433,135.2,5.8,mwb,"9 km SW of Taytayan, Philippines"
2012-01-14T16:36:21.040Z,19.202,121.156,17,5.8,mww,"65 km N of Namuac, Philippines"
2010-03-02T02:51:21.310Z,18.182,122.399,17,5.8,mwc,"Luzon, Philippines"
2013-04-10T20:20:26.800Z,20.722,122.064,11.5,5.8,mww,"31 km NNE of Basco, Philippines"
2014-11-21T03:29:11.390Z,20.6545,120.0724,4,5.8,mww,"164 km SSW of Hengchun, Taiwan"
2023-11-02T06:50:25.384Z,11.4081,125.875,13,5.7,mww,"29 km ENE of Hernani, Philippines"
2023-10-04T03:35:10.800Z,19.2007,121.2365,27,5.7,mww,"Babuyan Islands region, Philippines"
2021-09-26T17:12:05.243Z,13.8941,120.5097,83,5.7,mww,"12 km W of Talisay, Philippines"
2021-06-14T14:38:41.447Z,7.7102,124.967,5.86,5.7,mww,"5 km NW of Don Carlos, Philippines"
2012-11-14T05:21:42.470Z,9.982,122.472,40.9,5.7,mww,"1 km W of Kaliling, Philippines"
2012-01-17T12:55:34.720Z,11.177,125.837,20,5.7,mww,"19 km E of Salcedo, Philippines"
2012-06-15T01:14:07.520Z,5.719,126.354,41.4,5.7,mww,"73 km SSE of Pondaguitan, Philippines"
2011-05-09T19:13:25.920Z,5.343,126.415,28.8,5.7,mwc,"105 km E of Sarangani, Philippines"
1999-06-07T07:45:49.050Z,8.586,125.854,33,5.7,mwc,"1 km ESE of Aurora, Philippines"
2009-11-29T20:09:09.180Z,5.345,126.254,35,5.7,mwc,"87 km E of Sarangani, Philippines"
2009-09-18T11:53:48.010Z,6.513,124.715,10,5.7,mwc,"3 km NE of San Miguel, Philippines"
1999-08-26T21:38:11.900Z,19.119,121.152,33,5.7,mwc,"56 km N of Namuac, Philippines"
1998-11-19T12:03:47.460Z,5.167,126.143,88.5,5.7,mwc,"79 km ESE of Sarangani, Philippines"
1998-03-11T00:37:38.100Z,6.293,126.335,33,5.7,mwc,"18 km ESE of Pondaguitan, Philippines"
1997-03-11T19:21:23.010Z,8.134,126.345,88.4,5.7,mb,"9 km SSE of Bislig, Philippines"
1996-11-03T07:41:36.530Z,9.825,126.399,33,5.7,mwc,"32 km ENE of Union, Philippines"
1996-09-18T05:29:03.650Z,9.553,126.256,33,5.7,mwc,"27 km SE of Union, Philippines"
